,productBrand,productCategory,commission
935,Luxco-St Louis,SPICED RUM,0.11
936,Prestige Wine and Spirits Group,SPICED RUM,0.25
937,E AND J GALLO WINERY,SPICED RUM,0.16
938,"Yahara Bay Distillers, Inc",SPICED RUM,0.29
939,Phillips Beverage Company,SPICED RUM,0.14
940,"Bacardi U.S.A., Inc.",SPICED RUM,0.18
941,"William Grant and Sons, Inc.",SPICED RUM,0.3
942,Jim Beam Brands,SPICED RUM,0.14
943,Trinchero Family Estates,SPICED RUM,0.18
944,"Sazerac Co., Inc.",SPICED RUM,0.18
945,Stoli Group,SPICED RUM,0.04
946,Pernod Ricard USA/Austin Nichols,SPICED RUM,0.24
947,Rogue Ales and Spirits,SPICED RUM,0.13
948,Park Street Imports-Sweet Revenge,SPICED RUM,0.24
949,Paradise Distilling Company,SPICED RUM,0.1
950,3 Badge Mixology,SPICED RUM,0.15
951,Dehner Distillery,SPICED RUM,0.13
952,Mccormick Distilling Company,SPICED RUM,0.26
953,DIAGEO AMERICAS,Spiced Rum,0.22
954,Heaven Hill Brands,Spiced Rum,0.05
955,PROXIMO,Spiced Rum,0.11
956,William Grant & Sons Inc,Spiced Rum,0.19
957,LUXCO INC,Spiced Rum,0.32
958,Prestige Wine & Spirits Group,Spiced Rum,0.07
959,MINHAS MICRO DISTILLERY,Spiced Rum,0.31
960,SAZERAC NORTH AMERICA,Spiced Rum,0.28
961,Phillips Beverage,Spiced Rum,0.19
962,BACARDI USA INC,Spiced Rum,0.28
963,Prestige Wine & Spirits Group / United States Distilled Products Co,Spiced Rum,0.13
964,DEHNER DISTILLERY,Spiced Rum,0.23
965,SAZERAC COMPANY  INC,Spiced Rum,0.12
966,Jim Beam Brands,Spiced Rum,0.13
967,SUTTER HOME WINERY INC,Spiced Rum,0.16
968,"John Ernest Distillery, Inc.",Spiced Rum,0.26
969,PARADISE DISTILLING COMPANY,Spiced Rum,0.21
970,Mhw LTD,Spiced Rum,0.27
971,JDSO INC / Red Boot Distillery,Spiced Rum,0.11
972,STOLI GROUP,Spiced Rum,0.04
973,Allegheny Distilling LLC,Spiced Rum,0.24
974,STOLLER IMPORTS INC / MARSALLE COMPANY,Spiced Rum,0.28
975,MARSALLE COMPANY,Spiced Rum,0.19
976,"Bacardi U.S.A., Inc.",FLAVORED RUM,0.1
977,Pernod Ricard USA/Austin Nichols,FLAVORED RUM,0.22
978,Luxco-Cleveland,FLAVORED RUM,0.3
979,Heaven Hill Brands,FLAVORED RUM,0.29
980,Diageo Americas,FLAVORED RUM,0.29
981,Jim Beam Brands,FLAVORED RUM,0.3
982,MHW Ltd,FLAVORED RUM,0.25
983,Stoli Group,FLAVORED RUM,0.22
984,"Werner Distilling, LLC",FLAVORED RUM,0.07
985,"Sazerac Co., Inc.",FLAVORED RUM,0.14
986,Rogue Ales and Spirits,FLAVORED RUM,0.07
987,Trinchero Family Estates,FLAVORED RUM,0.3
988,Castle Brands,FLAVORED RUM,0.11
989,Dehner Distillery,FLAVORED RUM,0.24
990,Gemini Spirits,FLAVORED RUM,0.15
991,Mccormick Distilling Company,FLAVORED RUM,0.14
992,Serralles USA,FLAVORED RUM,0.09
993,Artisan Grain Distillery,FLAVORED RUM,0.25
994,Shaw Ross International Importers LL,FLAVORED RUM,0.16
995,"WILLIAM GRANT AND SONS, INC.",FLAVORED RUM,0.23
996,3 Badge Mixology,FLAVORED RUM,0.07
997,Luxco-St Louis,FLAVORED RUM,0.2
998,"White Rock Distilleries, Inc.",FLAVORED RUM,0.28
999,BACARDI USA INC,Flavored Rum,0.09
1000,PERNOD RICARD USA,Flavored Rum,0.3
1001,Heaven Hill Brands,Flavored Rum,0.19
1002,SAZERAC COMPANY  INC,Flavored Rum,0.27
1003,Jim Beam Brands,Flavored Rum,0.28
1004,DIAGEO AMERICAS,Flavored Rum,0.3
1005,E & J Gallo Winery,Flavored Rum,0.24
1006,Prestige Wine & Spirits Group,Flavored Rum,0.28
1007,Mhw LTD,Flavored Rum,0.26
1008,PARADISE DISTILLING COMPANY,Flavored Rum,0.04
1009,Castle Brands,Flavored Rum,0.06
1010,JDSO INC / Red Boot Distillery,Flavored Rum,0.19
1011,Prestige Wine & Spirits Group / United States Distilled Products Co,Flavored Rum,0.32
1012,Levecke Corporation,Flavored Rum,0.31
1013,SAZERAC NORTH AMERICA,Flavored Rum,0.18
1014,W J Deutsch & Sons LTD,Flavored Rum,0.28
1015,Gemini Spirits,Flavored Rum,0.19
1016,STOLI GROUP,Flavored Rum,0.13
1017,"Caribbean Distillers, LLC",Flavored Rum,0.23
1018,William Grant & Sons Inc,Flavored Rum,0.21
1019,Modern Matriarch,Flavored Rum,0.31
1020,"Worldwide Libations, LLC",Flavored Rum,0.06
1021,Park Street Imports,Flavored Rum,0.04
1022,SERRALLES USA,Flavored Rum,0.19
1023,PROXIMO,Mixto Tequila,0.28
1024,SAZERAC COMPANY  INC,Mixto Tequila,0.32
1025,SAZERAC NORTH AMERICA,Mixto Tequila,0.29
1026,LUXCO INC,Mixto Tequila,0.12
1027,Jim Beam Brands,Mixto Tequila,0.24
1028,Gemini Spirits,Mixto Tequila,0.22
1029,MINHAS MICRO DISTILLERY,Mixto Tequila,0.31
1030,Levecke Corporation,Mixto Tequila,0.08
1031,E & J Gallo Winery,Mixto Tequila,0.26
1032,Park Street Imports,Mixto Tequila,0.2
1033,PERNOD RICARD USA,Mixto Tequila,0.21
1034,Shaw-Ross International,Mixto Tequila,0.2
1035,DEHNER DISTILLERY,Mixto Tequila,0.16
1036,Latasi Group,Mixto Tequila,0.2
1037,JDSO INC / Red Boot Distillery,Mixto Tequila,0.05
1038,SURVILLE ENTERPRISES CORP,Mixto Tequila,0.23
1039,Diageo Americas,CREAM LIQUEURS,0.27
1040,MHW Ltd,CREAM LIQUEURS,0.29
1041,"A Hardy / U.S.A., Ltd.",CREAM LIQUEURS,0.27
1042,Gemini Spirits,CREAM LIQUEURS,0.23
1043,Mississippi River Distilling Co.,CREAM LIQUEURS,0.31
1044,Campari(skyy),CREAM LIQUEURS,0.17
1045,Mccormick Distilling Company,CREAM LIQUEURS,0.08
1046,Heaven Hill Brands,CREAM LIQUEURS,0.22
1047,"Sazerac Co., Inc.",CREAM LIQUEURS,0.16
1048,Prestige Wine and Spirits Group,CREAM LIQUEURS,0.05
1049,Rumcoqui and Co,CREAM LIQUEURS,0.1
1050,Luxco-St Louis,CREAM LIQUEURS,0.14
1051,Serralles USA,CREAM LIQUEURS,0.32
1052,E AND J GALLO WINERY,CREAM LIQUEURS,0.31
1053,"W. J. Deutsch And Sons, Ltd.",CREAM LIQUEURS,0.25
1054,Jim Beam Brands,CREAM LIQUEURS,0.18
1055,"Palm Bay Imports, Inc.",CREAM LIQUEURS,0.08
1056,Duggan's Distillers Products Corp,CREAM LIQUEURS,0.23
1057,Bacmar International,CREAM LIQUEURS,0.04
1058,"Paterno Imports, Ltd.",CREAM LIQUEURS,0.12
1059,"Speakeasy Spirits, LLC",CREAM LIQUEURS,0.09
1060,Aveniu Brands,CREAM LIQUEURS,0.16
1061,Western Spirits Beverage Co. LLC,CREAM LIQUEURS,0.24
1062,Aiko Importers Inc,CREAM LIQUEURS,0.23
1063,Dehner Distillery,CREAM LIQUEURS,0.06
1064,Park Street Imports,Cocktails /RTD,0.33
1065,PROXIMO,Cocktails /RTD,0.27
1066,SAZERAC NORTH AMERICA,Cocktails /RTD,0.23
1067,Jim Beam Brands,Cocktails /RTD,0.12
1068,BACARDI USA INC,Cocktails /RTD,0.17
1069,Levecke Corporation,Cocktails /RTD,0.08
1070,Mango Bottling,Cocktails /RTD,0.21
1071,SAZERAC COMPANY  INC,Cocktails /RTD,0.3
1072,DIAGEO AMERICAS,Cocktails /RTD,0.1
1073,MISSISSIPPI RIVER DISTIL,Cocktails /RTD,0.14
1074,LUXCO INC,Cocktails /RTD,0.25
1075,Charles Jacquin Et Cie,Cocktails /RTD,0.11
1076,AMERICAN SPIRITS EXCHANGE,Cocktails /RTD,0.13
1077,PERNOD RICARD USA,Cocktails /RTD,0.25
1078,Gemini Spirits,Cocktails /RTD,0.05
1079,Mhw LTD,Cocktails /RTD,0.2
1080,Phillips Beverage,Cocktails /RTD,0.14
1081,AMERICAN VINTAGE BEVERAGE,Cocktails /RTD,0.19
1082,"Worldwide Libations, LLC",Cocktails /RTD,0.17
1083,"Mid-Oak Distillery, Inc.",Cocktails /RTD,0.16
1084,COOPER SPIRITS INTERNATIONAL,Cocktails /RTD,0.23
1085,E & J Gallo Winery,Cocktails /RTD,0.1
1086,JDSO INC / Red Boot Distillery,Cocktails /RTD,0.2
1087,Southern Italy Imports,Cocktails /RTD,0.05
1088,"Caribbean Distillers, LLC",Cocktails /RTD,0.1
1089,DEHNER DISTILLERY,Cocktails /RTD,0.1
1090,WESTERN SPIRITS BEVERAGE,Cocktails /RTD,0.14
1091,Red Boot Distillery,Cocktails /RTD,0.15
1092,CONSTELLATION BRANDS INC,Cocktails /RTD,0.29
1093,Mhw LTD,Cream Liqueurs,0.08
1094,DIAGEO AMERICAS,Cream Liqueurs,0.27
1095,McCormick Distilling Co.,Cream Liqueurs,0.1
1096,E & J Gallo Winery,Cream Liqueurs,0.24
1097,Gemini Spirits,Cream Liqueurs,0.3
1098,Heaven Hill Brands,Cream Liqueurs,0.19
1099,MISA Imports Inc,Cream Liqueurs,0.12
1100,Revelton Distilling Company,Cream Liqueurs,0.16
1101,MISSISSIPPI RIVER DISTIL,Cream Liqueurs,0.27
1102,LUXCO INC,Cream Liqueurs,0.32
1103,SAZERAC COMPANY  INC,Cream Liqueurs,0.03
1104,Infinium Spirits,Cream Liqueurs,0.06
1105,Park Street Imports,Cream Liqueurs,0.22
1106,Sugarlands Distilling Company LLC,Cream Liqueurs,0.28
1107,Jim Beam Brands,Cream Liqueurs,0.17
1108,Rumcoqui and Co,Cream Liqueurs,0.16
1109,Paterno Imports LTD,Cream Liqueurs,0.14
1110,Prestige Wine & Spirits Group,Cream Liqueurs,0.16
1111,Niche Import Co,Cream Liqueurs,0.22
1112,A HARDY USA LTD,Cream Liqueurs,0.05
1113,SERRALLES USA,Cream Liqueurs,0.17
1114,DISARONNO INTERNATIONAL,Cream Liqueurs,0.08
1115,Paterno Imports LTD / Terlato Wines International,Cream Liqueurs,0.29
1116,Phillips Beverage,Cream Liqueurs,0.23
1117,WILSON DANIELS LTD,Cream Liqueurs,0.83
1118,Bedford & Grove LLC/ Chankaska Creek and Ranch Winery,Cream Liqueurs,0.32
1119,Charles Jacquin Et Cie,Cream Liqueurs,0.1
1120,STOLLER IMPORTS INC / MARSALLE COMPANY,Cream Liqueurs,0.09
1121,"USA Wine West, LLC",Cream Liqueurs,0.05
1122,Prestige Wine & Spirits Group / United States Distilled Products Co,Cream Liqueurs,0.29
1123,Skyy Spirits Inc,Cream Liqueurs,0.0
1124,"Bacardi U.S.A., Inc.",IMPORTED VODKA,0.09
1125,Diageo Americas,IMPORTED VODKA,0.32
1126,Pernod Ricard USA/Austin Nichols,IMPORTED VODKA,0.23
1127,Stoli Group,IMPORTED VODKA,0.15
1128,"Constellation Wine Company, Inc.",IMPORTED VODKA,0.16
1129,"Imperial Brands, Inc.",IMPORTED VODKA,0.18
1130,Wilson Daniels Ltd.,IMPORTED VODKA,0.09
1131,Wine Intelligence,IMPORTED VODKA,0.04
1132,"Moet Hennessy USA, Inc.",IMPORTED VODKA,0.3
1133,Jim Beam Brands,IMPORTED VODKA,0.27
1134,Proximo,IMPORTED VODKA,0.26
1135,Luxco-St Louis,IMPORTED VODKA,0.05
1136,Aiko Importers Inc,IMPORTED VODKA,0.1
1137,"WILLIAM GRANT AND SONS, INC.",IMPORTED VODKA,0.07
1138,Shaw Ross International Importers LL,IMPORTED VODKA,0.24
1139,"William Grant and Sons, Inc.",IMPORTED VODKA,0.14
1140,MHW Ltd,IMPORTED VODKA,0.29
1141,Dehner Distillery,IMPORTED VODKA,0.09
1142,"W. J. Deutsch And Sons, Ltd.",IMPORTED VODKA,0.24
1143,"Russian Standard Vodka, USA",IMPORTED VODKA,0.27
1144,Quadro Group LLC,IMPORTED VODKA,0.23
1145,Brown-Forman Corporation,IMPORTED VODKA,0.17
1146,"Jinro America, Inc",IMPORTED VODKA,0.18
1147,"Sazerac Co., Inc.",IMPORTED VODKA,0.33
1148,"Klin Spirits, LLC",IMPORTED VODKA,0.26
1149,Duggan's Distillers Products Corp,IMPORTED VODKA,0.08
1150,Firestarter Spirits Inc.,IMPORTED VODKA,0.2
1151,Marsalle Company/Stoller Warehouse,IMPORTED VODKA,0.21
1152,"A Hardy / U.S.A., Ltd.",IMPORTED VODKA,0.29
1153,Western Spirits Beverage Co. LLC,IMPORTED VODKA,0.06
1154,Royal World Spirits,IMPORTED VODKA,0.1
1155,PERNOD RICARD USA,Irish Whiskies,0.2
1156,PROXIMO,Irish Whiskies,0.25
1157,Castle Brands,Irish Whiskies,0.15
1158,William Grant & Sons Inc,Irish Whiskies,0.21
1159,SAZERAC COMPANY  INC,Irish Whiskies,0.04
1160,LUXCO INC,Irish Whiskies,0.25
1161,Phillips Beverage,Irish Whiskies,0.22
1162,Park Street Imports,Irish Whiskies,0.3
1163,MISA Imports Inc,Irish Whiskies,0.2
1164,BACARDI USA INC,Irish Whiskies,0.1
1165,Jim Beam Brands,Irish Whiskies,0.11
1166,Prestige Wine & Spirits Group,Irish Whiskies,0.15
1167,DISARONNO INTERNATIONAL,Irish Whiskies,0.08
1168,E & J Gallo Winery,Irish Whiskies,0.19
1169,MS WALKER INC,Irish Whiskies,0.29
1170,Mhw LTD,Irish Whiskies,0.3
1171,Prestige Wine & Spirits Group / United States Distilled Products Co,Irish Whiskies,0.28
1172,HOTALING & CO,Irish Whiskies,0.21
1173,Brown Forman Corp.,Irish Whiskies,0.32
1174,STOLLER IMPORTS INC / MARSALLE COMPANY,Irish Whiskies,0.29
1175,Glass Revolution Imports,Irish Whiskies,0.16
1176,Levecke Corporation,Irish Whiskies,0.31
1177,Diageo Americas,VODKA 80 PROOF,0.25
1178,Sazerac North America,VODKA 80 PROOF,0.3
1179,Fifth Generation Inc.,VODKA 80 PROOF,0.13
1180,Laird And Company,VODKA 80 PROOF,0.19
1181,Mccormick Distilling Company,VODKA 80 PROOF,0.2
1182,Luxco-St Louis,VODKA 80 PROOF,0.06
1183,"Sazerac Co., Inc.",VODKA 80 PROOF,0.14
1184,Phillips Beverage Company,VODKA 80 PROOF,0.25
1185,Wilson Daniels Ltd.,VODKA 80 PROOF,0.14
1186,E AND J GALLO WINERY,VODKA 80 PROOF,0.06
1187,Prestige Wine and Spirits Group,VODKA 80 PROOF,0.28
1188,E and J Gallo Winery,VODKA 80 PROOF,0.1
1189,Heaven Hill Brands,VODKA 80 PROOF,0.24
1190,Campari(skyy),VODKA 80 PROOF,0.14
1191,Jim Beam Brands,VODKA 80 PROOF,0.04
1192,"Cedar Ridge Vineyards,LLC",VODKA 80 PROOF,0.14
1193,MHW Ltd,VODKA 80 PROOF,0.19
1194,Mississippi River Distilling Co.,VODKA 80 PROOF,0.3
1195,Iowa Distilling Company,VODKA 80 PROOF,0.05
1196,Swell Liquor LLC,VODKA 80 PROOF,0.09
1197,"Yahara Bay Distillers, Inc",VODKA 80 PROOF,0.13
1198,Sidney Frank Importing Co.,VODKA 80 PROOF,0.19
1199,Minhas Micro Distillery,VODKA 80 PROOF,0.05
1200,Proximo,VODKA 80 PROOF,0.15
1201,Dehner Distillery,VODKA 80 PROOF,0.32
1202,Brown-Forman Corporation,VODKA 80 PROOF,0.08
1203,Better Brands Bev Co,VODKA 80 PROOF,0.11
1204,Trinchero Family Estates,VODKA 80 PROOF,0.23
1205,Cooper's Chase Distillery,VODKA 80 PROOF,0.05
1206,Sovereign Brands,VODKA 80 PROOF,0.28
1207,Marsalle Company,VODKA 80 PROOF,0.2
1208,Blaum Bros. Distilling Co.,VODKA 80 PROOF,0.2
1209,Serralles USA,VODKA 80 PROOF,0.17
1210,The Wine Group,VODKA 80 PROOF,0.06
1211,"Hood River Distillers, Inc.",VODKA 80 PROOF,0.07
1212,Phillips Beverage Company,VODKA FLAVORED,0.09
1213,E AND J GALLO WINERY,VODKA FLAVORED,0.17
1214,Heaven Hill Brands,VODKA FLAVORED,0.19
1215,Luxco-St Louis,VODKA FLAVORED,0.17
1216,Jim Beam Brands,VODKA FLAVORED,0.3
1217,Diageo Americas,VODKA FLAVORED,0.33
1218,E and J Gallo Winery,VODKA FLAVORED,0.13
1219,Mississippi River Distilling Co.,VODKA FLAVORED,0.33
1220,Brown-Forman Corporation,VODKA FLAVORED,0.04
1221,"Sazerac Co., Inc.",VODKA FLAVORED,0.22
1222,Square One Organic Spirits,VODKA FLAVORED,0.29
1223,Mccormick Distilling Company,VODKA FLAVORED,0.14
1224,Wilson Daniels Ltd.,VODKA FLAVORED,0.15
1225,Campari(skyy),VODKA FLAVORED,0.23
1226,Luxco-Cleveland,VODKA FLAVORED,0.17
1227,The Wine Group,VODKA FLAVORED,0.31
1228,Trinchero Family Estates,VODKA FLAVORED,0.17
1229,"Hood River Distillers, Inc.",VODKA FLAVORED,0.24
1230,Blaum Bros. Distilling Co.,VODKA FLAVORED,0.24
1231,Rogue Ales and Spirits,VODKA FLAVORED,0.11
1232,Dehner Distillery,VODKA FLAVORED,0.28
1233,Black Rock Spirits,VODKA FLAVORED,0.09
1234,Proximo,VODKA FLAVORED,0.25
1235,Park Street Imports-Voli,VODKA FLAVORED,0.12
1236,Stern Beverage,VODKA FLAVORED,0.1
1237,Sazerac North America,VODKA FLAVORED,0.09
1238,McCormick Distilling Co.,American Vodkas,0.16
1239,SAZERAC NORTH AMERICA,American Vodkas,0.22
1240,Laird & Company,American Vodkas,0.15
1241,DIAGEO AMERICAS,American Vodkas,0.22
1242,LUXCO INC,American Vodkas,0.31
1243,FIFTH GENERATION INC,American Vodkas,0.03
1244,Heaven Hill Brands,American Vodkas,0.31
1245,JDSO INC / Red Boot Distillery,American Vodkas,0.08
1246,Swell Liquor LLC,American Vodkas,0.33
1247,Infinium Spirits,American Vodkas,0.22
1248,E & J Gallo Winery,American Vodkas,0.11
1249,Phillips Beverage,American Vodkas,0.12
1250,SAZERAC COMPANY  INC,American Vodkas,0.07
1251,Gray Duck Spirits LLC,American Vodkas,0.14
1252,CEDAR RIDGE VINEYARDS LL,American Vodkas,0.09
1253,MINHAS MICRO DISTILLERY,American Vodkas,0.32
1254,DEHNER DISTILLERY,American Vodkas,0.22
1255,Campari America,American Vodkas,0.28
1256,Skyy Spirits Inc,American Vodkas,0.06
1257,MISSISSIPPI RIVER DISTIL,American Vodkas,0.21
1258,Park Street Imports,American Vodkas,0.19
1259,Prestige Wine & Spirits Group,American Vodkas,0.25
1260,Levecke Corporation,American Vodkas,0.29
1261,Jim Beam Brands,American Vodkas,0.12
1262,"Foundry Distilling Company, LLC",American Vodkas,0.21
1263,Lonely Oak Distillery,American Vodkas,0.19
1264,CONSTELLATION BRANDS INC,American Vodkas,0.1
1265,Mhw LTD,American Vodkas,0.19
1266,DUNKEL CORPORATION / Iowa Distilling,American Vodkas,0.32
1267,JEM Beverage Company,American Vodkas,0.19
1268,Cats Eye Distillery,American Vodkas,0.2
1269,PERNOD RICARD USA,American Vodkas,0.28
1270,Oz Spirits LLC,American Vodkas,0.25
1271,"American Heritage Distillers, LLC / Century Farms Distillery",American Vodkas,0.21
1272,Red Boot Distillery,American Vodkas,0.27
1273,DUNKEL CORPORATION,American Vodkas,0.13
1274,"American Heritage Distillers, LLC",American Vodkas,0.17
1275,45TH PARALLEL SPIRITS,American Vodkas,0.15
1276,Meisenburg Brewing & Distilling,American Vodkas,0.21
1277,Strong Spirits Distilling,American Vodkas,0.08
1278,B. T. O. Distillers LLC,American Vodkas,0.25
1279,Hawaii Sea Spirits LLC,American Vodkas,0.25
1280,"O&R Ventures, LLC",American Vodkas,0.34
1281,Colorado Gold Distillery,American Vodkas,0.21
1282,MARSALLE COMPANY,American Vodkas,0.1
1283,BLAUM BROTHERS DISTILLING CO,American Vodkas,0.03
1284,Eastside Distilling,American Vodkas,0.14
1285,One Eight Distilling LLC,American Vodkas,0.27
1286,BAD BEAR ENTERPRISES LLC,American Vodkas,0.31
1287,RS Lipman Company LLC,American Vodkas,0.06
1288,Midwest Liquor Company,American Vodkas,0.17
1289,Prestige Wine & Spirits Group / United States Distilled Products Co,American Vodkas,0.09
1290,Driftless Glen Distillery,American Vodkas,0.3
1291,Bluff Creek Distillery,American Vodkas,0.29
1292,BAD BEAR ENTERPRISES LLC / Legendary Rye,American Vodkas,0.21
1293,"Sion Farm Distillery / Twin City Island Spirits, Inc",American Vodkas,0.09
1294,Jacob Rieger & Company LLC,American Vodkas,0.19
1295,WESTERN SPIRITS BEVERAGE,American Vodkas,0.23
1296,Revelton Distilling Company,American Vodkas,0.32
1297,"Cowboy Country Distilling, Inc.",American Vodkas,0.18
1298,Be In Good Spirits LLC / Frankly Organic Vodka,American Vodkas,0.31
1299,"Trust Me Vodka, Inc.",American Vodkas,0.18
1300,"Restless Spirits Distilling Company, LLC",American Vodkas,0.17
1301,Rebecca Creek Distillery LLC,American Vodkas,0.28
1302,DIAGEO AMERICAS,Imported Vodkas,0.27
1303,BACARDI USA INC,Imported Vodkas,0.25
1304,PERNOD RICARD USA,Imported Vodkas,0.34
1305,SAZERAC COMPANY  INC,Imported Vodkas,0.13
1306,Jim Beam Brands,Imported Vodkas,0.07
1307,W J Deutsch & Sons LTD,Imported Vodkas,0.11
1308,CONSTELLATION BRANDS INC,Imported Vodkas,0.15
1309,STOLI GROUP,Imported Vodkas,0.3
1310,MOET HENNESSY USA,Imported Vodkas,0.24
1311,William Grant & Sons Inc,Imported Vodkas,0.06
1312,LUXCO INC,Imported Vodkas,0.1
1313,Mhw LTD,Imported Vodkas,0.27
1314,PROXIMO,Imported Vodkas,0.19
1315,IMPERIAL BRANDS INC,Imported Vodkas,0.29
1316,MISA Imports Inc,Imported Vodkas,0.09
1317,RUSSIAN STANDARD VODKA,Imported Vodkas,0.28
1318,WESTERN SPIRITS BEVERAGE,Imported Vodkas,0.18
1319,QUADRO GROUP LLC,Imported Vodkas,0.21
1320,Infinium Spirits,Imported Vodkas,0.18
1321,DEHNER DISTILLERY,Imported Vodkas,0.13
1322,Park Street Imports,Imported Vodkas,0.35
1323,AMERICAN SPIRITS EXCHANGE,Imported Vodkas,0.2
1324,"Global Spirits USA, LLC",Imported Vodkas,0.31
1325,"Yahara Bay Distillers, Inc",SCOTCH WHISKIES,0.24
1326,Diageo Americas,SCOTCH WHISKIES,0.08
1327,"Bacardi U.S.A., Inc.",SCOTCH WHISKIES,0.1
1328,Pernod Ricard USA/Austin Nichols,SCOTCH WHISKIES,0.15
1329,"WILLIAM GRANT AND SONS, INC.",SCOTCH WHISKIES,0.23
1330,"M.S. Walker, Inc.",SCOTCH WHISKIES,0.12
1331,Sazerac North America,SCOTCH WHISKIES,0.17
1332,Shaw Ross International Importers LL,SCOTCH WHISKIES,0.29
1333,"William Grant and Sons, Inc.",SCOTCH WHISKIES,0.13
1334,MHW Ltd,SCOTCH WHISKIES,0.2
1335,Edrington Group USA LLC,SCOTCH WHISKIES,0.09
1336,"Whyte and Machay(Americas) Limited,L",SCOTCH WHISKIES,0.17
1337,Anchor Distilling (PREISS IMPORTS),SCOTCH WHISKIES,0.18
1338,Heaven Hill Brands,SCOTCH WHISKIES,0.26
1339,Jim Beam Brands,SCOTCH WHISKIES,0.17
1340,Prestige Wine and Spirits Group,SCOTCH WHISKIES,0.33
1341,"WILDMAN AND SONS, F.",SCOTCH WHISKIES,0.19
1342,"Moet Hennessy USA, Inc.",SCOTCH WHISKIES,0.08
1343,E AND J GALLO WINERY,SCOTCH WHISKIES,0.21
1344,Impex Beverages Inc,SCOTCH WHISKIES,0.18
1345,"Sazerac Co., Inc.",SCOTCH WHISKIES,0.17
1346,BACARDI USA INC,Scotch Whiskies,0.19
1347,Shaw-Ross International,Scotch Whiskies,0.24
1348,DIAGEO AMERICAS,Scotch Whiskies,0.24
1349,William Grant & Sons Inc,Scotch Whiskies,0.31
1350,SAZERAC NORTH AMERICA,Scotch Whiskies,0.25
1351,SAZERAC COMPANY  INC,Scotch Whiskies,0.11
1352,Prestige Wine & Spirits Group / United States Distilled Products Co,Scotch Whiskies,0.17
1353,MISA Imports Inc,Scotch Whiskies,0.29
1354,PERNOD RICARD USA,Scotch Whiskies,0.27
1355,Prestige Wine & Spirits Group,Scotch Whiskies,0.25
1356,Edrington Group USA LLC,Scotch Whiskies,0.13
1357,Mhw LTD,Scotch Whiskies,0.15
1358,Jim Beam Brands,Scotch Whiskies,0.05
1359,Gemini Spirits,Scotch Whiskies,0.26
1360,E & J Gallo Winery,Scotch Whiskies,0.26
1361,Skyy Spirits Inc,Scotch Whiskies,0.09
1362,Vision Wine & Spirit LLC,Scotch Whiskies,0.21
1363,Campari America,Scotch Whiskies,0.32
1364,REMY COINTREAU USA INC,Scotch Whiskies,0.23
1365,Levecke Corporation,Scotch Whiskies,0.04
1366,MOET HENNESSY USA,Scotch Whiskies,0.1
1367,Phillips Beverage,Scotch Whiskies,0.25
1368,Paterno Imports LTD,Scotch Whiskies,0.23
1369,IMPEX BEVERAGE INC,Scotch Whiskies,0.04
1370,Paterno Imports LTD / Terlato Wines International,Scotch Whiskies,0.25
1371,"Sazerac Co., Inc.",WHISKEY LIQUEUR,0.23
1372,Brown-Forman Corporation,WHISKEY LIQUEUR,0.24
1373,Charles Jacquin/Independent Spirits,WHISKEY LIQUEUR,0.14
1374,Diageo Americas,WHISKEY LIQUEUR,0.23
1375,Heaven Hill Brands,WHISKEY LIQUEUR,0.22
1376,Phillips Beverage Company,WHISKEY LIQUEUR,0.15
1377,"Constellation Wine Company, Inc.",WHISKEY LIQUEUR,0.33
1378,"Yahara Bay Distillers, Inc",WHISKEY LIQUEUR,0.12
1379,Broadbent Distillery,WHISKEY LIQUEUR,0.29
1380,Castle Brands,WHISKEY LIQUEUR,0.29
1381,Dehner Distillery,WHISKEY LIQUEUR,0.17
1382,"Whyte and Machay(Americas) Limited,L",WHISKEY LIQUEUR,0.26
1383,Luxco-St Louis,WHISKEY LIQUEUR,0.33
1384,Aveniu Brands,WHISKEY LIQUEUR,0.19
1385,"Charles Jacquin Et. Cie., Inc.",WHISKEY LIQUEUR,0.06
1386,Campari(skyy),WHISKEY LIQUEUR,0.16
1387,Cooperspiritsinternational,WHISKEY LIQUEUR,0.26
1388,Proximo,WHISKEY LIQUEUR,0.14
1389,Niche Import Co.,WHISKEY LIQUEUR,0.05
1390,SAZERAC COMPANY  INC,Whiskey Liqueur,0.25
1391,Heaven Hill Brands,Whiskey Liqueur,0.27
1392,DIAGEO AMERICAS,Whiskey Liqueur,0.3
1393,"Minglewood Distilling Company, LLC",Whiskey Liqueur,0.24
1394,Campari America,Whiskey Liqueur,0.05
1395,DEHNER DISTILLERY,Whiskey Liqueur,0.1
1396,Old Elk Distilleries LLC,Whiskey Liqueur,0.16
1397,LUXCO INC,Whiskey Liqueur,0.21
1398,PROXIMO,Whiskey Liqueur,0.1
1399,CONSTELLATION BRANDS INC,Whiskey Liqueur,0.31
1400,Phillips Beverage,Whiskey Liqueur,0.22
1401,SAZERAC NORTH AMERICA,Whiskey Liqueur,0.31
1402,Prestige Wine & Spirits Group,Whiskey Liqueur,0.28
1403,COOPER SPIRITS INTERNATIONAL,Whiskey Liqueur,0.24
1404,Charles Jacquin Et Cie,Whiskey Liqueur,0.28
1405,JDSO INC / Red Boot Distillery,Whiskey Liqueur,0.27
1406,Mhw LTD,Whiskey Liqueur,0.23
1407,STOLLER IMPORTS INC / MARSALLE COMPANY,Whiskey Liqueur,0.11
1408,Red Boot Distillery,Whiskey Liqueur,0.24
